Amostra_ID,Rotulo_Real,Rotulo_Previsto,Prob_Classe_0,Prob_Classe_1,Prob_Classe_2,Prob_Classe_3,Prob_Classe_4,Prob_Classe_5,Prob_Classe_6,Prob_Classe_7,Prob_Classe_8,Prob_Classe_9
0,7,7,4.957109e-10,1.1965092e-08,7.567261e-09,3.8030134e-08,6.8126167e-09,7.7191126e-10,3.0520395e-11,0.9999995,1.569956e-11,4.0319367e-07
1,2,2,5.6207755e-10,1.9916047e-10,1.0,1.8532901e-11,5.604853e-15,1.2313026e-15,3.058512e-13,2.2976152e-10,8.5639884e-11,9.458094e-17
2,1,1,1.4524806e-09,0.99999785,2.8826323e-08,3.603488e-11,1.518299e-06,4.238733e-09,6.551771e-08,1.936738e-07,2.8445163e-07,3.2743006e-10
3,0,0,0.9999925,8.36239e-09,8.3778525e-07,3.305239e-08,1.8582887e-07,1.5064717e-09,6.1149267e-06,6.362135e-09,3.492247e-08,3.3355954e-07
4,4,4,3.8997308e-07,9.51198e-07,8.4249486e-08,9.167243e-10,0.9965657,5.310177e-07,7.7652025e-08,2.5357492e-06,3.0045538e-07,0.0034293993
5,1,1,7.789643e-11,0.9999995,3.39928e-11,8.970361e-14,4.389203e-07,4.357168e-11,5.2194876e-10,1.40682115e-08,1.1622586e-08,7.673277e-12
6,4,4,1.3226755e-08,2.6770554e-08,7.9109654e-08,4.833944e-10,0.9997439,9.274949e-06,7.409956e-07,6.4614207e-09,0.0002089553,3.711158e-05
7,9,9,1.6465074e-06,5.306049e-07,2.1793778e-06,0.002085716,3.1493084e-05,1.2558993e-06,1.2294187e-09,0.00028161827,5.808097e-07,0.997595
8,5,6,2.7597596e-10,8.4215335e-10,1.8571739e-10,1.2974019e-10,1.5854015e-06,0.27839598,0.72160167,3.4301605e-12,7.3641723e-07,1.490846e-08
9,9,9,3.827037e-12,9.769631e-11,3.318601e-12,4.506751e-10,2.396013e-05,3.2295036e-10,1.4301029e-12,1.3301285e-07,3.9918163e-10,0.9999759
10,0,0,0.9999994,3.2918167e-12,6.145952e-07,3.6547063e-12,2.278801e-12,2.4704958e-14,6.32627e-11,7.687632e-12,3.296826e-11,4.2048126e-10
11,6,6,8.160218e-08,6.370989e-11,1.9407391e-10,3.989845e-11,1.8431666e-09,1.7139962e-07,0.9999994,4.82022e-12,3.0358586e-07,7.011182e-13
12,9,9,1.1160505e-12,1.2805934e-12,1.2686346e-12,1.689699e-09,1.0315507e-07,3.6938677e-09,2.4647078e-14,2.3225298e-11,9.042924e-11,0.9999999
13,0,0,0.9999999,7.61354e-11,6.441873e-08,7.007851e-11,2.722024e-10,2.2022053e-11,5.4554693e-08,1.4955656e-10,1.0386319e-08,5.9869856e-09
14,1,1,5.4466215e-12,1.0,1.9399472e-11,6.709673e-13,1.9602016e-09,9.899997e-10,4.2349335e-10,3.8075912e-10,2.1214701e-08,1.0379201e-10
15,5,5,3.914291e-10,2.0287663e-08,2.4775302e-09,0.001463255,5.4645954e-11,0.9985287,1.11184915e-10,6.0337674e-10,7.2960997e-06,7.3221025e-07
16,9,9,7.495123e-09,7.44586e-10,6.639281e-10,1.0045721e-08,4.1521143e-06,6.875563e-09,3.05472e-10,1.3883873e-07,2.710788e-08,0.9999957
17,7,7,5.3527197e-11,1.1471128e-09,1.5002787e-08,1.9903184e-09,3.0927935e-10,3.91061e-11,6.7167924e-13,1.0,1.9828234e-13,5.61496e-09
18,3,3,3.3989303e-07,7.5525156e-07,7.7412624e-05,0.9123099,9.568225e-08,5.812778e-06,1.1636231e-07,1.2135496e-07,0.08760426,1.2614439e-06
19,4,4,8.5871824e-11,2.8450295e-09,2.0995585e-09,1.2085644e-13,1.0,5.8490595e-08,1.7046482e-09,1.7014445e-10,1.2793887e-10,5.5550404e-09
20,9,9,4.354592e-05,0.00012159829,5.855319e-07,0.00015022232,3.646724e-05,0.0004907323,4.5440014e-08,0.0007356434,3.8216174e-05,0.9983829
21,6,6,2.9104694e-07,2.737218e-10,8.294038e-10,1.0067631e-09,6.016401e-08,5.991783e-05,0.99993956,1.0702716e-10,1.6524865e-07,1.8023642e-10
22,6,6,4.0836753e-08,9.864889e-12,1.6284847e-11,3.6648105e-11,9.95611e-09,2.4013508e-08,0.9999999,6.877837e-12,5.898645e-08,5.633195e-13
23,5,5,2.5149072e-18,5.5442446e-16,1.0453701e-18,5.983173e-13,2.2634229e-17,1.0,2.4956824e-15,1.23517785e-17,2.0315778e-15,2.7500868e-12
24,4,4,1.3037337e-06,2.7267724e-06,3.4618125e-07,7.606837e-09,0.99753046,0.00015441861,8.18688e-07,2.313407e-06,2.7476202e-07,0.0023073382
25,0,0,1.0,9.7984405e-14,9.2093677e-10,6.757363e-12,3.6928238e-10,2.5079998e-14,5.8957186e-09,4.6568008e-14,1.863098e-10,1.3048246e-09
26,7,7,3.8122874e-10,8.3111573e-10,3.281914e-09,2.793988e-08,1.4253176e-09,4.153857e-10,9.0966e-13,0.9999987,5.5521434e-12,1.3393089e-06
27,4,4,1.3804371e-13,3.9437027e-11,6.1790746e-12,1.5242297e-16,1.0,1.4843271e-09,6.2461034e-13,1.3701915e-12,3.7958547e-12,1.1297809e-09
28,0,0,0.99999964,3.817743e-13,3.6834965e-07,7.187564e-12,4.2984174e-13,4.2509473e-14,1.7565119e-10,5.4947084e-13,6.039277e-11,4.7976602e-11
29,1,1,2.5535036e-09,0.9999958,1.7255156e-08,5.037048e-09,2.7725944e-06,8.942953e-08,1.2227508e-07,3.9534322e-07,8.776812e-07,1.5688839e-08
30,3,3,1.0964673e-17,1.6271286e-14,1.3864825e-13,1.0,9.570966e-18,8.427465e-12,5.192636e-19,2.0691988e-15,3.4601076e-13,7.446197e-12
31,1,1,1.1612829e-07,0.9999317,2.1104921e-07,1.0833801e-08,2.4275014e-05,1.7866894e-06,9.0023923e-07,7.393491e-06,3.1198313e-05,2.2902898e-06
32,3,3,1.6715112e-17,1.10781684e-13,3.4381957e-12,1.0,1.1626329e-17,6.566794e-13,5.438207e-18,1.6636923e-14,5.8177382e-12,4.63188e-15
33,4,4,4.950063e-05,8.845888e-08,2.3714333e-09,5.4770247e-11,0.99992216,2.2483414e-07,2.7926491e-05,1.0286061e-07,1.3155187e-08,2.709906e-08
34,7,7,4.395727e-11,6.856887e-10,5.930263e-09,6.6444655e-10,1.7351357e-09,2.760012e-13,1.477838e-13,1.0,1.4844777e-12,8.286132e-09
35,2,2,2.190604e-12,3.761209e-09,0.9999999,2.1778745e-10,1.4869202e-12,5.62441e-14,4.2611504e-15,1.0216234e-07,1.3637879e-12,3.4501807e-14
36,7,7,2.0920323e-12,7.9715634e-10,1.0034983e-08,2.4119984e-10,8.66621e-11,6.374928e-12,3.6261358e-12,1.0,2.7492358e-13,6.773961e-11
